time, N, D, A, C
395 , 14774 , 428 , 119333 , 982
396 , 14780 , 426 , 119320 , 996
397 , 14762 , 430 , 119339 , 994
398 , 14783 , 426 , 119334 , 987
399 , 14773 , 429 , 119334 , 992
400 , 14776 , 432 , 119332 , 995
401 , 14790 , 433 , 119312 , 1001
402 , 14792 , 431 , 119294 , 1009
403 , 14783 , 423 , 119301 , 1014
404 , 14778 , 420 , 119313 , 1014
405 , 14777 , 420 , 119314 , 1022
406 , 14759 , 428 , 119327 , 1015
407 , 14755 , 426 , 119354 , 994
408 , 14757 , 419 , 119390 , 962
409 , 14760 , 418 , 119399 , 954
410 , 14756 , 416 , 119410 , 946
411 , 14767 , 416 , 119407 , 940
412 , 14764 , 418 , 119403 , 948
413 , 14753 , 420 , 119392 , 967
414 , 14761 , 421 , 119388 , 959
415 , 14743 , 420 , 119403 , 961
416 , 14747 , 418 , 119395 , 967
417 , 14747 , 414 , 119392 , 970
418 , 14742 , 413 , 119399 , 970
419 , 14731 , 418 , 119397 , 977
420 , 14721 , 419 , 119402 , 981
421 , 14725 , 418 , 119402 , 989
422 , 14729 , 417 , 119418 , 975
423 , 14732 , 417 , 119425 , 962
424 , 14733 , 422 , 119425 , 965
425 , 14733 , 428 , 119431 , 964
426 , 14765 , 425 , 119414 , 953
427 , 14759 , 426 , 119404 , 958
428 , 14750 , 423 , 119387 , 981
429 , 14777 , 417 , 119380 , 963
430 , 14771 , 422 , 119383 , 956
431 , 14772 , 422 , 119383 , 954
432 , 14792 , 426 , 119367 , 945
433 , 14790 , 437 , 119351 , 947
434 , 14818 , 428 , 119335 , 930
435 , 14828 , 434 , 119313 , 926
436 , 14845 , 431 , 119289 , 932
437 , 14828 , 436 , 119292 , 934
438 , 14850 , 432 , 119269 , 937
439 , 14851 , 436 , 119247 , 948
440 , 14836 , 433 , 119242 , 963
441 , 14847 , 433 , 119225 , 970
442 , 14836 , 442 , 119224 , 973
443 , 14862 , 444 , 119210 , 964
444 , 14871 , 448 , 119196 , 953
445 , 14884 , 453 , 119160 , 966
446 , 14886 , 453 , 119136 , 974
447 , 14902 , 450 , 119107 , 981
448 , 14902 , 450 , 119082 , 997
449 , 14896 , 449 , 119061 , 1019
450 , 14887 , 441 , 119053 , 1034
451 , 14880 , 440 , 119040 , 1057
452 , 14884 , 432 , 119042 , 1057
453 , 14875 , 436 , 119058 , 1045
454 , 14883 , 433 , 119062 , 1033
455 , 14891 , 436 , 119095 , 988
456 , 14890 , 437 , 119106 , 981
457 , 14898 , 435 , 119092 , 989
458 , 14878 , 433 , 119093 , 1007
459 , 14880 , 431 , 119080 , 1023
460 , 14877 , 428 , 119074 , 1034
461 , 14861 , 430 , 119065 , 1054
462 , 14875 , 423 , 119063 , 1054
463 , 14853 , 429 , 119064 , 1063
464 , 14868 , 426 , 119060 , 1059
465 , 14863 , 425 , 119059 , 1061
466 , 14866 , 424 , 119060 , 1060
467 , 14848 , 428 , 119082 , 1052
468 , 14830 , 435 , 119109 , 1050
469 , 14828 , 424 , 119118 , 1056
470 , 14811 , 419 , 119145 , 1057
471 , 14787 , 421 , 119190 , 1045
472 , 14799 , 417 , 119222 , 1016
473 , 14791 , 421 , 119244 , 1015
474 , 14788 , 419 , 119255 , 1015
475 , 14787 , 413 , 119272 , 1005
476 , 14794 , 415 , 119303 , 970
477 , 14801 , 419 , 119325 , 939
478 , 14811 , 418 , 119336 , 917
479 , 14821 , 414 , 119348 , 902
480 , 14817 , 416 , 119350 , 900
481 , 14835 , 411 , 119341 , 893
482 , 14835 , 408 , 119342 , 894
483 , 14831 , 410 , 119340 , 899
484 , 14830 , 408 , 119333 , 908
485 , 14828 , 408 , 119341 , 902
486 , 14837 , 405 , 119350 , 885
487 , 14842 , 406 , 119350 , 879
488 , 14846 , 407 , 119346 , 879
489 , 14844 , 412 , 119338 , 885
490 , 14850 , 411 , 119335 , 881
491 , 14850 , 409 , 119322 , 892
492 , 14841 , 410 , 119318 , 903
493 , 14822 , 415 , 119313 , 923
494 , 14833 , 411 , 119316 , 913
495 , 14820 , 415 , 119330 , 909
496 , 14824 , 408 , 119338 , 903
497 , 14820 , 408 , 119350 , 898
498 , 14822 , 406 , 119345 , 906
499 , 14820 , 403 , 119357 , 898
500 , 14815 , 404 , 119362 , 899
501 , 14818 , 403 , 119365 , 895
502 , 14813 , 403 , 119364 , 904
503 , 14797 , 402 , 119378 , 906
504 , 14804 , 401 , 119379 , 900
505 , 14802 , 400 , 119377 , 906
506 , 14801 , 401 , 119384 , 900
507 , 14801 , 402 , 119399 , 887
508 , 14800 , 402 , 119403 , 885
509 , 14805 , 399 , 119405 , 883
510 , 14798 , 402 , 119405 , 887
511 , 14799 , 401 , 119409 , 883
512 , 14798 , 402 , 119410 , 883
513 , 14801 , 400 , 119412 , 881
514 , 14800 , 402 , 119412 , 880
515 , 14803 , 401 , 119412 , 878
516 , 14802 , 403 , 119409 , 880
517 , 14808 , 401 , 119406 , 879
518 , 14797 , 404 , 119404 , 889
519 , 14811 , 401 , 119397 , 885
520 , 14805 , 403 , 119396 , 889
521 , 14817 , 401 , 119395 , 880
522 , 14807 , 405 , 119398 , 882
523 , 14817 , 406 , 119390 , 879
524 , 14823 , 406 , 119383 , 880
525 , 14826 , 405 , 119377 , 881
526 , 14830 , 406 , 119374 , 879
527 , 14829 , 406 , 119367 , 885
